input_dbfs	error_exact_db	error_miscut_db	leak_h2_db	leak_h3_db	leak_h4_db	leak_h5_db	leak_h6_db	leak_h7_db	leak_h8_db	leak_h9_db
-70	-2.99121722946e-08	-2.99121722946e-08	-158.237379379	-171.756323574	-180.177672051	-186.403941105	-191.374054766	-195.521367237	-199.08468777	-202.210652588
-68.3428571429	-2.99121722946e-08	-2.99121722946e-08	-158.23737939	-171.756323565	-180.177671981	-186.403941166	-191.374054864	-195.521367222	-199.084685712	-202.210650966
-66.6857142857	-2.99121722946e-08	-2.99121580838e-08	-158.237379411	-171.756323539	-180.177672377	-186.403943158	-191.374055501	-195.521373597	-199.084686096	-202.210654738
-65.0285714286	-2.99121580838e-08	-2.99121580838e-08	-158.237379409	-171.75632358	-180.177671617	-186.403941619	-191.374054214	-195.521367032	-199.084687209	-202.210655175
-63.3714285714	-2.99121651892e-08	-2.99121580838e-08	-158.237379464	-171.756323517	-180.177673179	-186.40394218	-191.374055452	-195.521371283	-199.084683226	-202.21065427
-61.7142857143	-2.99121651892e-08	-2.99121722946e-08	-158.237379554	-171.756323552	-180.177674191	-186.403939303	-191.374055558	-195.521360832	-199.084693414	-202.210649153
-60.0571428571	-2.99121722946e-08	-2.99121651892e-08	-158.237379436	-171.756323641	-180.177672698	-186.403943158	-191.374055424	-195.521371042	-199.084684059	-202.210649221
-58.4	-2.99121722946e-08	-2.99121722946e-08	-158.2373795	-171.756323306	-180.177674243	-186.403940335	-191.37406095	-195.521363878	-199.084692884	-202.210608998
-56.7428571429	-2.99121580838e-08	-2.99121580838e-08	-158.23737952	-171.756323333	-180.177674392	-186.403939774	-191.374059958	-195.521361751	-199.084695692	-202.210608953
-55.0857142857	-2.99121722946e-08	-2.99121722946e-08	-158.237379398	-171.756323901	-180.177672174	-186.403944447	-191.374054345	-195.521373341	-199.08468763	-202.210616179
-53.4285714286	-2.99121651892e-08	-2.99121651892e-08	-158.237379202	-171.756323415	-180.177670278	-186.403938426	-191.374051193	-195.521364225	-199.084676557	-202.210618182
-51.7714285714	-2.99121580838e-08	-2.99121580838e-08	-158.237379306	-171.756323625	-180.177670587	-186.403941965	-191.374053083	-195.521367024	-199.08468943	-202.210614461
-50.1142857143	-2.99121722946e-08	-2.99121722946e-08	-158.237379411	-171.756323714	-180.177672516	-186.4039434	-191.374056855	-195.521371363	-199.084692321	-202.21061534
-48.4571428571	-2.99121651892e-08	-2.99121651892e-08	-158.237379605	-171.75632347	-180.177673597	-186.403937364	-191.374057558	-195.521364389	-199.084705663	-202.210622593
-46.8	-2.99121580838e-08	-2.99121580838e-08	-158.237379466	-171.75632338	-180.177672664	-186.403940759	-191.374055737	-195.521368872	-199.084648748	-202.210614446
-45.1428571429	-2.99121651892e-08	-2.99121651892e-08	-158.237379267	-171.756323069	-180.177665266	-186.403941872	-191.37403483	-195.521376639	-199.084700146	-202.210698689
-43.4857142857	-2.99121580838e-08	-2.99121580838e-08	-158.237379301	-171.756323368	-180.177663741	-186.403940964	-191.374037592	-195.521378411	-199.08469695	-202.210730399
-41.8285714286	-2.99121651892e-08	-2.99121651892e-08	-158.237379243	-171.756323072	-180.177665024	-186.403941017	-191.374033022	-195.521382929	-199.084701327	-202.210713155
-40.1714285714	-2.99121651892e-08	-2.99121651892e-08	-158.237379548	-171.756324358	-180.177667585	-186.403942313	-191.374028039	-195.521356821	-199.084666724	-202.210666345
-38.5142857143	-2.99121651892e-08	-2.99121651892e-08	-158.237379576	-171.756324105	-180.177668032	-186.403939963	-191.3740304	-195.521344788	-199.084681796	-202.210647422
