hardclip_k_dbfs	hardclip_sse	under_k_dbfs	under_sse
-68.3428571429	46.0543856565	-68.3428571429	0.173168956984
-68.289453125	46.0146469938	-68.289453125	0.163924838413
-68.2360491071	45.9772098425	-68.2360491071	0.155469030291
-68.1826450893	45.9420599346	-68.1826450893	0.147755841007
-68.1292410714	45.9091455654	-68.1292410714	0.140735843347
-68.0758370536	45.878388354	-68.0758370536	0.134358178142
-68.0224330357	45.8496919312	-68.0224330357	0.128572245485
-67.9690290179	45.8229487817	-67.9690290179	0.123328896816
-67.915625	45.7980455097	-67.915625	0.118581232624
-67.8622209821	45.7748667946	-67.8622209821	0.114285097028
-67.8088169643	45.753298286	-67.8088169643	0.110399345388
-67.7554129464	45.7332286564	-67.7554129464	0.106885946505
-67.7020089286	45.7145509974	-67.7020089286	0.103709967881
-67.6486049107	45.6971637135	-67.6486049107	0.100839481335
-67.5952008929	45.6809710357	-67.5952008929	0.0982454171051
-67.541796875	45.6658832568	-67.541796875	0.0959013872449
-67.4883928571	45.6518167624	-67.4883928571	0.0937834933548
-67.4349888393	45.6386939192	-67.4349888393	0.0918701293066
-67.3815848214	45.6264428655	-67.3815848214	0.0901417862687
-67.3281808036	45.6149972391	-67.3281808036	0.0885808648672
-67.2747767857	45.6042958662	-67.2747767857	0.0871714974994
-67.2213727679	45.5942824322	-67.2213727679	0.0858993825076
-67.16796875	45.5849051465	-67.16796875	0.0847516309934
-67.1145647321	45.5761164109	-67.1145647321	0.0837166264156
-67.0611607143	45.5678724989	-67.0611607143	0.0827838966837
-67.0077566964	45.5601332487	-67.0077566964	0.0819439981852
-66.9543526786	45.5528617739	-66.9543526786	0.0811884110205
-66.9009486607	45.5460241922	-66.9009486607	0.0805094446334
-66.8475446429	45.5395893735	-66.8475446429	0.0799001529922
-66.794140625	45.5335287062	-66.794140625	0.0793542584832
-66.7407366071	45.5278158821	-66.7407366071	0.0788660837052
-66.6873325893	45.5224266992	-66.6873325893	0.0784304903991
-66.6339285714	45.4924368857	-66.6339285714	0.074771454755
-66.5805245536	45.4628591912	-66.5805245536	0.071271443691
-66.5271205357	45.4344590115	-66.5271205357	0.0680214170177
-66.4737165179	45.407206142	-66.4737165179	0.065007048304
-66.4203125	45.3810677872	-66.4203125	0.0622144823952
-66.3669084821	45.3560092444	-66.3669084821	0.0596303870989
-66.3135044643	45.3319944917	-66.3135044643	0.0572419888766
-66.2601004464	45.3089866856	-66.2601004464	0.0550370951959
-66.2066964286	45.2869485824	-66.2066964286	0.0530041058851
-66.1532924107	45.2658428884	-66.1532924107	0.0511320155387
-66.0998883929	45.2456325498	-66.0998883929	0.0494104087441
-66.046484375	45.2262809896	-66.046484375	0.0478294496463
-65.9930803571	45.2077522975	-65.9930803571	0.0463798671381
-65.9396763393	45.1900113815	-65.9396763393	0.0450529367576
-65.8862723214	45.173024084	-65.8862723214	0.0438404601989
-65.8328683036	45.1567572697	-65.8328683036	0.0427347431813
-65.7794642857	45.1411788894	-65.7794642857	0.0417285722891
-65.7260602679	45.1262580225	-65.7260602679	0.0408151912784
-65.67265625	45.1119649026	-65.67265625	0.0399882772475
-65.6192522321	45.0982709292	-65.6192522321	0.0392419169866
-65.5658482143	45.0851486672	-65.5658482143	0.0385705837487
-65.5124441964	45.0725718376	-65.5124441964	0.0379691146303
-65.4590401786	45.0605153	-65.4590401786	0.037432688699
-65.4056361607	45.0489550292	-65.4056361607	0.0369568059663
-65.3522321429	45.0378680875	-65.3522321429	0.036537267273
-65.298828125	45.0272325928	-65.298828125	0.0361701551269
-65.2454241071	45.0170276849	-65.2454241071	0.0358518155129
-65.1920200893	45.0072334889	-65.1920200893	0.035578840678
-65.1386160714	44.9978310788	-65.1386160714	0.0353480528824
-65.0852120536	44.9888024395	-65.0852120536	0.035156489096
-65.0318080357	44.9801304287	-65.0318080357	0.035001386615
-64.9784040179	44.9534254024	-64.9784040179	0.0334688246569
-64.925	44.9263243721	-64.925	0.0319605076681
-64.8715959821	44.9000122439	-64.8715959821	0.0305645121984
-64.8181919643	44.8744731849	-64.8181919643	0.0292753555533
-64.7647879464	44.8496906597	-64.7647879464	0.0280877438556
-64.7113839286	44.8256475783	-64.7113839286	0.0269965749834
-64.6579799107	44.8023264281	-64.6579799107	0.0259969399048
-64.6045758929	44.7797093926	-64.6045758929	0.0250841226304
-64.551171875	44.7577784566	-64.551171875	0.0242535989882
-64.4977678571	44.7365154989	-64.4977678571	0.0235010344004
-64.4443638393	44.7159023752	-64.4443638393	0.0228222808262
-64.3909598214	44.6959209891	-64.3909598214	0.0222133730165
-64.3375558036	44.6765533558	-64.3375558036	0.0216705242075
-64.2841517857	44.6577816555	-64.2841517857	0.0211901213681
-64.2307477679	44.6395882809	-64.2307477679	0.0207687201006
-64.17734375	44.6219558764	-64.17734375	0.0204030392815
-64.1239397321	44.6048673722	-64.1239397321	0.0200899555169
-64.0705357143	44.5883060121	-64.0705357143	0.01982649748
-64.0171316964	44.5722553772	-64.0171316964	0.0196098401845
-63.9637276786	44.5566994037	-63.9637276786	0.019437299242
-63.9103236607	44.5416223987	-63.9103236607	0.0193063251444
-63.8569196429	44.5270090508	-63.8569196429	0.0192144976043
-63.803515625	44.5128444387	-63.803515625	0.0191595199815
-63.7501116071	44.4991140364	-63.7501116071	0.0191392138186
-63.6967075893	44.485803717	-63.6967075893	0.019151513504
-63.6433035714	44.4728997529	-63.6433035714	0.0191944610773
-63.5898995536	44.4603888158	-63.5898995536	0.0192662011881
-63.5364955357	44.448257974	-63.5364955357	0.0193649762164
-63.4830915179	44.4364946892	-63.4830915179	0.0194891215612
-63.4296875	44.4250868112	-63.4296875	0.0196370611
-63.3762834821	44.4140225727	-63.3762834821	0.0198073028225
-63.3228794643	44.3885902318	-63.3228794643	0.01930555396
-63.2694754464	44.3622809611	-63.2694754464	0.0187935701966
-63.2160714286	44.3365689277	-63.2160714286	0.0183399530056
-63.1626674107	44.3114450144	-63.1626674107	0.0179421719777
-63.1092633929	44.2868997797	-63.1092633929	0.0175977749517
-63.055859375	44.2629235091	-63.055859375	0.0173043879598
-63.0024553571	44.2395062613	-63.0024553571	0.0170597148814
-62.9490513393	44.2166379111	-62.9490513393	0.0168615368411
-62.8956473214	44.1943081895	-62.8956473214	0.0167077113819
-62.8422433036	44.1725067194	-62.8422433036	0.0165961714426
-62.7888392857	44.1512230488	-62.7888392857	0.0165249241664
-62.7354352679	44.1304466816	-62.7354352679	0.0164920495659
-62.68203125	44.1101671045	-62.68203125	0.0164956990652
-62.6286272321	44.0903738121	-62.6286272321	0.0165340939408
-62.5752232143	44.0710563297	-62.5752232143	0.0166055236799
-62.5218191964	44.0522042335	-62.5218191964	0.0167083442708
-62.4684151786	44.0338071687	-62.4684151786	0.0168409764432
-62.4150111607	44.0158548658	-62.4150111607	0.017001903869
-62.3616071429	43.9983371554	-62.3616071429	0.017189671338
-62.308203125	43.9812439807	-62.308203125	0.0174028829166
-62.2547991071	43.9645654091	-62.2547991071	0.017640200102
-62.2013950893	43.9482916417	-62.2013950893	0.0179003399773
-62.1479910714	43.9324130222	-62.1479910714	0.0181820733762
-62.0945870536	43.9169200444	-62.0945870536	0.0184842230641
-62.0411830357	43.9018033578	-62.0411830357	0.0188056619397
-61.9877790179	43.8870537739	-61.9877790179	0.0191453112628
-61.934375	43.8726622695	-61.934375	0.0195021389125
-61.8809709821	43.8586199909	-61.8809709821	0.0198751576777
-61.8275669643	43.8449182564	-61.8275669643	0.0202634235855
-61.7741629464	43.8315485585	-61.7741629464	0.020666034266
-61.7207589286	43.8185025649	-61.7207589286	0.0210821273592
-61.6673549107	43.7934215873	-61.6673549107	0.0211287301689
-61.6139508929	43.7671162413	-61.6139508929	0.0211559285451
-61.560546875	43.741295661	-61.560546875	0.0212164781123
-61.5071428571	43.7159542775	-61.5071428571	0.0213090525914
-61.4537388393	43.6910863228	-61.4537388393	0.0214323614722
-61.4003348214	43.6666858518	-61.4003348214	0.0215851498791
-61.3469308036	43.642746764	-61.3469308036	0.0217661983606
