level_dbfs	order	measured_db_re_note	truth_db_re_note	thd_pct
-48	1	0	0	0.0224130704527
-48	2	-79.9789219483	-324.307956833	0.0224130704527
-48	3	-87.3199992699	-105.542562755	0.0224130704527
-48	4	-80.3824188054	-337.31825679	0.0224130704527
-48	5	-78.6042953192	-209.501477408	0.0224130704527
-48	6	-84.8419360961	-340.328556746	0.0224130704527
-48	7	-84.1753622018	-313.507105983	0.0224130704527
-48	8	-83.2870224785	-334.012850858	0.0224130704527
-48	9	-84.4481784273	-333.796431609	0.0224130704527
-42.8571428571	1	0	0	0.0107217696564
-42.8571428571	2	-85.6480045503	-327.409301946	0.0107217696564
-42.8571428571	3	-87.1829940678	-95.2571606789	0.0107217696564
-42.8571428571	4	-90.9002348919	-323.827573128	0.0107217696564
-42.8571428571	5	-88.0864294879	-188.930621001	0.0107217696564
-42.8571428571	6	-85.4383430859	-342.460801729	0.0107217696564
-42.8571428571	7	-90.4618676976	-282.539324217	0.0107217696564
-42.8571428571	8	-91.8765604615	-335.868772954	0.0107217696564
-42.8571428571	9	-100.687727265	-330.980176374	0.0107217696564
-37.7142857143	1	0	0	0.00723910540941
-37.7142857143	2	-94.9958811423	nan	0.00723910540941
-37.7142857143	3	-88.50308441	-84.9724666135	0.00723910540941
-37.7142857143	4	-102.771406307	-341.582038798	0.00723910540941
-37.7142857143	5	-92.6887678205	-168.361063248	0.00723910540941
-37.7142857143	6	-95.7771770877	-334.592338755	0.00723910540941
-37.7142857143	7	-87.4527962985	-251.647042633	0.00723910540941
-37.7142857143	8	-92.2801291974	-327.602638711	0.00723910540941
-37.7142857143	9	-95.72704651	-336.463205188	0.00723910540941
-32.5714285714	1	0	0	0.0188211710217
-32.5714285714	2	-108.180462939	-328.659763682	0.0188211710217
-32.5714285714	3	-74.6373604842	-74.6900854891	0.0188211710217
-32.5714285714	4	-97.3605495918	-333.711263465	0.0188211710217
-32.5714285714	5	-99.1317519909	-147.795745472	0.0188211710217
-32.5714285714	6	-106.000197325	-325.752463291	0.0188211710217
-32.5714285714	7	-101.2754162	-220.798508869	0.0188211710217
-32.5714285714	8	-93.10160551	-332.742163335	0.0188211710217
-32.5714285714	9	-98.6412418146	-293.802743461	0.0188211710217
-27.4285714286	1	0	0	0.0604118112073
-27.4285714286	2	-105.798411025	-324.760845028	0.0604118112073
-27.4285714286	3	-64.3804959712	-64.4152539706	0.0604118112073
-27.4285714286	4	-100.50530264	-333.528455511	0.0604118112073
-27.4285714286	5	-104.236865787	-127.244268156	0.0604118112073
-27.4285714286	6	-108.632337787	-325.662611332	0.0604118112073
-27.4285714286	7	-106.761780585	-189.97018208	0.0604118112073
-27.4285714286	8	-104.137432727	-344.863844595	0.0604118112073
-27.4285714286	9	-106.984583208	-252.685325251	0.0604118112073
-22.2857142857	1	0	0	0.196046393061
-22.2857142857	2	-110.366255771	nan	0.196046393061
-22.2857142857	3	-54.1529163437	-54.1649975737	0.196046393061
-22.2857142857	4	-105.885157463	-338.899216735	0.196046393061
-22.2857142857	5	-109.59889607	-106.737840649	0.196046393061
-22.2857142857	6	-116.628540904	-332.615327435	0.196046393061
-22.2857142857	7	-118.805084695	-159.206884657	0.196046393061
-22.2857142857	8	-110.070875812	-343.950716518	0.196046393061
-22.2857142857	9	-106.300342722	-211.665780756	0.196046393061
-17.1428571429	1	0	0	0.631466949056
-17.1428571429	2	-113.285417881	-331.88688336	0.631466949056
-17.1428571429	3	-43.9932281089	-43.9940328883	0.631466949056
-17.1428571429	4	-116.335123783	-325.79894962	0.631466949056
-17.1428571429	5	-86.6138152918	-86.3767336669	0.631466949056
-17.1428571429	6	-111.127574965	-330.91778323	0.631466949056
-17.1428571429	7	-113.734683415	-128.653352191	0.631466949056
-17.1428571429	8	-116.892981125	-331.12628462	0.631466949056
-17.1428571429	9	-111.427181788	-170.919498519	0.631466949056
-12	1	0	0	1.97946987386
-12	2	-118.098119327	-323.663464234	1.97946987386
-12	3	-34.0715151635	-34.0718738793	1.97946987386
-12	4	-117.605605577	-330.38987489	1.97946987386
-12	5	-66.4835660548	-66.4713063709	1.97946987386
-12	6	-129.561642473	-332.694364104	1.97946987386
-12	7	-98.5308247174	-98.7571886453	1.97946987386
-12	8	-116.491874028	-336.10233533	1.97946987386
-12	9	-119.682084229	-131.031530129	1.97946987386
