input_dbfs	output_dbfs
-70	-51.9382141875
-68.3428571429	-50.2810777868
-66.6857142857	-48.6239443858
-65.0285714286	-46.9668153778
-63.3714285714	-45.3096928039
-61.7142857143	-43.6525796531
-60.0571428571	-41.9954803031
-58.4	-40.3384011651
-56.7428571429	-38.6813516286
-55.0857142857	-37.0243454444
-53.4285714286	-35.3674027499
-51.7714285714	-33.7105530338
-50.1142857143	-32.0538394765
-48.4571428571	-30.3973253013
-46.8	-28.7411030648
-45.1428571429	-27.0853082405
-43.4857142857	-25.4301390615
-41.8285714286	-23.7758854733
-40.1714285714	-22.122971304
-38.5142857143	-20.4720155281
-36.8571428571	-18.8239209309
-35.2	-17.1800017091
-33.5428571429	-15.5421655798
-31.8857142857	-13.9131704579
-30.2285714286	-12.2969794802
-28.5714285714	-10.6992380194
-26.9142857143	-9.12788582023
-25.2571428571	-7.59388440199
-23.6	-6.1119658086
-21.9428571429	-4.7011738687
-20.2857142857	-3.38477496274
-18.6285714286	-2.18893515944
-16.9714285714	-1.13959745009
-15.3142857143	-0.257539653876
-13.6571428571	0.447261893443
-12	0.976562557207
