input_dbfs	lower_line_dbfs	upper_line_dbfs	hinge_dbfs
-70	-51.8523462739	-31.9538349666	-51.8523462739
-69.7085427136	-51.5627626314	-31.7862673224	-51.5627626314
-69.4170854271	-51.273178989	-31.6186996782	-51.273178989
-69.1256281407	-50.9835953465	-31.4511320341	-50.9835953465
-68.8341708543	-50.6940117041	-31.2835643899	-50.6940117041
-68.5427135678	-50.4044280616	-31.1159967457	-50.4044280616
-68.2512562814	-50.1148444191	-30.9484291015	-50.1148444191
-67.959798995	-49.8252607767	-30.7808614574	-49.8252607767
-67.6683417085	-49.5356771342	-30.6132938132	-49.5356771342
-67.3768844221	-49.2460934918	-30.445726169	-49.2460934918
-67.0854271357	-48.9565098493	-30.2781585249	-48.9565098493
-66.7939698492	-48.6669262068	-30.1105908807	-48.6669262068
-66.5025125628	-48.3773425644	-29.9430232365	-48.3773425644
-66.2110552764	-48.0877589219	-29.7754555923	-48.0877589219
-65.9195979899	-47.7981752795	-29.6078879482	-47.7981752795
-65.6281407035	-47.508591637	-29.440320304	-47.508591637
-65.3366834171	-47.2190079946	-29.2727526598	-47.2190079946
-65.0452261307	-46.9294243521	-29.1051850157	-46.9294243521
-64.7537688442	-46.6398407096	-28.9376173715	-46.6398407096
-64.4623115578	-46.3502570672	-28.7700497273	-46.3502570672
-64.1708542714	-46.0606734247	-28.6024820831	-46.0606734247
-63.8793969849	-45.7710897823	-28.434914439	-45.7710897823
-63.5879396985	-45.4815061398	-28.2673467948	-45.4815061398
-63.2964824121	-45.1919224973	-28.0997791506	-45.1919224973
-63.0050251256	-44.9023388549	-27.9322115065	-44.9023388549
-62.7135678392	-44.6127552124	-27.7646438623	-44.6127552124
-62.4221105528	-44.32317157	-27.5970762181	-44.32317157
-62.1306532663	-44.0335879275	-27.4295085739	-44.0335879275
-61.8391959799	-43.744004285	-27.2619409298	-43.744004285
-61.5477386935	-43.4544206426	-27.0943732856	-43.4544206426
-61.256281407	-43.1648370001	-26.9268056414	-43.1648370001
-60.9648241206	-42.8752533577	-26.7592379973	-42.8752533577
-60.6733668342	-42.5856697152	-26.5916703531	-42.5856697152
-60.3819095477	-42.2960860727	-26.4241027089	-42.2960860727
-60.0904522613	-42.0065024303	-26.2565350647	-42.0065024303
-59.7989949749	-41.7169187878	-26.0889674206	-41.7169187878
-59.5075376884	-41.4273351454	-25.9213997764	-41.4273351454
-59.216080402	-41.1377515029	-25.7538321322	-41.1377515029
-58.9246231156	-40.8481678605	-25.5862644881	-40.8481678605
-58.6331658291	-40.558584218	-25.4186968439	-40.558584218
-58.3417085427	-40.2690005755	-25.2511291997	-40.2690005755
-58.0502512563	-39.9794169331	-25.0835615555	-39.9794169331
-57.7587939698	-39.6898332906	-24.9159939114	-39.6898332906
-57.4673366834	-39.4002496482	-24.7484262672	-39.4002496482
-57.175879397	-39.1106660057	-24.580858623	-39.1106660057
-56.8844221106	-38.8210823632	-24.4132909789	-38.8210823632
-56.5929648241	-38.5314987208	-24.2457233347	-38.5314987208
-56.3015075377	-38.2419150783	-24.0781556905	-38.2419150783
-56.0100502513	-37.9523314359	-23.9105880463	-37.9523314359
-55.7185929648	-37.6627477934	-23.7430204022	-37.6627477934
-55.4271356784	-37.3731641509	-23.575452758	-37.3731641509
-55.135678392	-37.0835805085	-23.4078851138	-37.0835805085
-54.8442211055	-36.793996866	-23.2403174697	-36.793996866
-54.5527638191	-36.5044132236	-23.0727498255	-36.5044132236
-54.2613065327	-36.2148295811	-22.9051821813	-36.2148295811
-53.9698492462	-35.9252459386	-22.7376145371	-35.9252459386
-53.6783919598	-35.6356622962	-22.570046893	-35.6356622962
-53.3869346734	-35.3460786537	-22.4024792488	-35.3460786537
-53.0954773869	-35.0564950113	-22.2349116046	-35.0564950113
-52.8040201005	-34.7669113688	-22.0673439605	-34.7669113688
-52.5125628141	-34.4773277264	-21.8997763163	-34.4773277264
-52.2211055276	-34.1877440839	-21.7322086721	-34.1877440839
-51.9296482412	-33.8981604414	-21.5646410279	-33.8981604414
-51.6381909548	-33.608576799	-21.3970733838	-33.608576799
-51.3467336683	-33.3189931565	-21.2295057396	-33.3189931565
-51.0552763819	-33.0294095141	-21.0619380954	-33.0294095141
-50.7638190955	-32.7398258716	-20.8943704512	-32.7398258716
