rung	level_dbfs	start_s	ramp_end_s	measure_start_s	end_s
1	-70	0.2	0.22	0.35	0.6
2	-68.3428571429	0.6	0.62	0.75	1
3	-66.6857142857	1	1.02	1.15	1.4
4	-65.0285714286	1.4	1.42	1.55	1.8
5	-63.3714285714	1.8	1.82	1.95	2.2
6	-61.7142857143	2.2	2.22	2.35	2.6
7	-60.0571428571	2.6	2.62	2.75	3
8	-58.4	3	3.02	3.15	3.4
9	-56.7428571429	3.4	3.42	3.55	3.8
10	-55.0857142857	3.8	3.82	3.95	4.2
11	-53.4285714286	4.2	4.22	4.35	4.6
12	-51.7714285714	4.6	4.62	4.75	5
13	-50.1142857143	5	5.02	5.15	5.4
14	-48.4571428571	5.4	5.42	5.55	5.8
15	-46.8	5.8	5.82	5.95	6.2
16	-45.1428571429	6.2	6.22	6.35	6.6
17	-43.4857142857	6.6	6.62	6.75	7
18	-41.8285714286	7	7.02	7.15	7.4
19	-40.1714285714	7.4	7.42	7.55	7.8
20	-38.5142857143	7.8	7.82	7.95	8.2
21	-36.8571428571	8.2	8.22	8.35	8.6
22	-35.2	8.6	8.62	8.75	9
23	-33.5428571429	9	9.02	9.15	9.4
24	-31.8857142857	9.4	9.42	9.55	9.8
25	-30.2285714286	9.8	9.82	9.95	10.2
26	-28.5714285714	10.2	10.22	10.35	10.6
27	-26.9142857143	10.6	10.62	10.75	11
28	-25.2571428571	11	11.02	11.15	11.4
29	-23.6	11.4	11.42	11.55	11.8
30	-21.9428571429	11.8	11.82	11.95	12.2
31	-20.2857142857	12.2	12.22	12.35	12.6
32	-18.6285714286	12.6	12.62	12.75	13
33	-16.9714285714	13	13.02	13.15	13.4
34	-15.3142857143	13.4	13.42	13.55	13.8
35	-13.6571428571	13.8	13.82	13.95	14.2
36	-12	14.2	14.22	14.35	14.6
