slots_from_high_note	exact_dbc	moved_dbc	detector_slot
-30	-139.47408743236912	-42.54969131956309	0
-29	-142.19475286803132	-42.258379968614804	0
-28	-139.51242662693164	-41.95696388052109	0
-27	-134.67289292006095	-41.64451449024794	0
-26	-145.99690776976632	-41.3203115369423	0
-25	-134.68481414568384	-40.983662559090206	0
-24	-129.6870467101373	-40.63338098727678	0
-23	-130.2198715440301	-40.26774097579729	0
-22	-140.46085216104953	-39.886631553673894	0
-21	-131.7866284022726	-39.48783726227934	0
-20	-139.77698255418062	-39.069851017189265	0
-19	-148.5964547070988	-38.6305030978039	0
-18	-139.91981028227212	-38.167663794269544	0
-17	-137.7287529591731	-37.67888987572484	0
-16	-134.54227886981886	-37.16079973819341	0
-15	-134.66294423367827	-36.60962968228324	0
-14	-143.1369791662141	-36.02115774296753	0
-13	-130.5089470226734	-35.38978554164919	0
-12	-136.677532486915	-34.70871011308394	0
-11	-142.27493060308976	-33.96967547460211	0
-10	-133.54917467246278	-33.16177237847959	0
-9	-139.78238168201986	-32.27061735275751	1
-8	-146.41756329559908	-31.27746358591922	1
-7	-132.71577290491456	-30.15575901006779	1
-6	-135.49510190456394	-28.86714447934557	1
-5	-135.93599983055543	-27.35339181503409	1
-4	-133.48939020263992	-25.518519943297605	1
-3	-130.37710490735586	-23.189031617643174	1
-2	-141.2631422259456	-19.995593318644847	1
-1	-138.25451635782687	-14.890742898906595	1
0	-9.365193640381151e-07	-0.9119297643658748	0
1	-131.92928322283396	-10.454952023701784	1
2	-132.07759488312473	-17.81508124988931	1
3	-140.26758689231687	-21.74155629245689	1
4	-137.38909085037085	-24.436116439475764	1
5	-146.26289559798562	-26.489957402910917	1
6	-148.0829200493137	-28.150018422798126	1
7	-137.987466438755	-29.54336400017425	1
8	-132.78927362365903	-30.743911830294127	1
9	-136.42919782679502	-31.798635104705646	1
10	-138.76078204057654	-32.73909643661678	0
11	-133.8241235058737	-33.58769311609581	0
12	-141.49629678539338	-34.36091677195543	0
13	-139.7001778322666	-35.07102571866418	0
14	-139.98366195991306	-35.72746809230488	0
15	-135.45051416771622	-36.337779466683266	0
16	-138.03934686863587	-36.90821833200466	0
17	-141.8846095907472	-37.44342163038895	0
18	-136.92168892596624	-37.947658710356066	0
19	-137.3400716416321	-38.42439361025034	0
20	-138.07781109430732	-38.876323609176836	0
21	-137.6139365364549	-39.305775275147674	0
22	-138.03441667281245	-39.71523325661957	0
23	-146.522142594804	-40.10630965283134	0
24	-134.53288500372076	-40.48045140415414	0
25	-135.78151286505067	-40.83945202073466	0
26	-133.23763228801636	-41.18397926775748	0
27	-133.55194580446673	-41.51560316742773	0
28	-141.9001076463871	-41.834821336165504	0
29	-140.76386252828624	-42.14290169997337	0
30	-137.29267312524738	-42.440321026788304	0
