t_s	carried_dbfs	independent_dbfs
-0.495	-8.29538022199	-8.29538022199
-0.485	-9.03453724218	-9.03453724218
-0.475	-8.89065318112	-8.89065318112
-0.465	-8.41169047671	-8.41169047671
-0.455	-10.1034519952	-10.1034519952
-0.445	-9.01033703752	-9.01033703752
-0.435	-8.49627414512	-8.49627414512
-0.425	-9.23644404099	-9.23644404099
-0.415	-8.64871370036	-8.64871370036
-0.405	-8.78122183362	-8.78122183362
-0.395	-10.1219733915	-10.1219733915
-0.385	-8.49223872539	-8.49223872539
-0.375	-8.8474317655	-8.8474317655
-0.365	-9.24785431556	-9.24785431556
-0.355	-8.40777228359	-8.40777228359
-0.345	-9.36134948297	-9.36134948297
-0.335	-9.66828704433	-9.66828704433
-0.325	-8.33946477489	-8.33946477489
-0.315	-9.17196577012	-9.17196577012
-0.305	-9.06880206935	-9.06880206935
-0.295	-8.3783893501	-8.3783893501
-0.285	-9.8602031405	-9.8602031405
-0.275	-9.01021721658	-9.01021721658
-0.265	-8.52518020176	-8.52518020176
-0.255	-9.36079339901	-9.36079339901
-0.245	-8.76597207454	-8.76597207454
-0.235	-8.65020070297	-8.65020070297
-0.225	-9.97790208578	-9.97790208578
-0.215	-9.34582480498	-9.34582480498
-0.205	-20.7452240682	-20.7452240682
-0.195	-19.0941915264	-19.0941915264
-0.185	-19.4160980216	-19.4160980216
-0.175	-19.74427018	-19.74427018
-0.165	-20.0789374766	-20.0789374766
-0.155	-20.4203530614	-20.4203530614
-0.145	-20.7686879684	-20.7686879684
-0.135	-21.124211051	-21.124211051
-0.125	-21.4871728866	-21.4871728866
-0.115	-21.8578961608	-21.8578961608
-0.105	-22.2368118279	-22.2368118279
-0.095	-22.6240297122	-22.6240297122
-0.085	-23.0201972867	-23.0201972867
-0.075	-23.4255967246	-23.4255967246
-0.065	-23.8407278966	-23.8407278966
-0.055	-24.2660302813	-24.2660302813
-0.045	-24.7022147647	-24.7022147647
-0.035	-25.1497604729	-25.1497604729
-0.025	-25.6093651653	-25.6093651653
-0.015	-26.0819159429	-26.0819159429
-0.005	-26.5681224123	-26.5681224123
0.005	-27.0691138637	-99.983421838
0.015	-27.5857279928	-99.924383367
0.025	-28.1193708321	-99.7687214952
0.035	-28.6714699335	-99.9025536915
0.045	-29.2436427459	-100.268825357
0.055	-29.8373002238	-100.100141302
0.065	-30.4551160422	-100.079913407
0.075	-31.099212092	-100.097009686
0.085	-31.7728368858	-99.9264803267
0.095	-32.4786264166	-100.641627439
0.105	-33.2212885036	-99.9236306484
0.115	-34.0060128037	-99.6902530334
0.125	-34.8382048395	-99.9026458881
0.135	-35.7256251163	-99.7206866151
0.145	-36.6784340983	-99.9630301671
0.155	-37.7092744218	-99.6674152254
0.165	-38.8339938322	-99.9001396281
0.175	-40.0747765134	-100.084396082
0.185	-41.4645860502	-99.9395983329
0.195	-43.0517555997	-99.8561614322
0.205	-45.3277607474	-56.1085662275
0.215	-44.0192515564	-44.7626535817
0.225	-43.607810627	-44.0659129281
0.235	-44.0599557337	-43.2210530115
0.245	-43.7818541056	-43.8120949804
0.255	-43.682942096	-43.6678581063
0.265	-42.4741129588	-43.340733217
0.275	-43.4896068275	-44.2700299808
0.285	-41.877650107	-43.3943893393
0.295	-40.6425578043	-43.3721862061
