t_s	h_db
-4	-148.954104104
-3.995	-149.67230153
-3.99	-148.720687647
-3.985	-148.207010624
-3.98	-148.318941483
-3.975	-149.123532245
-3.97	-149.007146296
-3.965	-148.051146524
-3.96	-147.4349425
-3.955	-148.276918063
-3.95	-149.222516514
-3.945	-148.807160323
-3.94	-147.669676706
-3.935	-147.689421508
-3.93	-148.163045117
-3.925	-149.11634787
-3.92	-148.539639638
-3.915	-147.868118882
-3.91	-147.854060591
-3.905	-147.678161908
-3.9	-148.070970264
-3.895	-148.375149458
-3.89	-148.197628618
-3.885	-147.964718724
-3.88	-148.041611817
-3.875	-148.243020304
-3.87	-148.460671986
-3.865	-147.854958611
-3.86	-147.503709365
-3.855	-147.257052421
-3.85	-147.817959564
-3.845	-148.176070522
-3.84	-148.698798845
-3.835	-147.603602453
-3.83	-145.518706163
-3.825	-145.971732706
-3.82	-144.765747869
-3.815	-146.390785112
-3.81	-144.472566104
-3.805	-147.307997489
-3.8	-146.120140102
-3.795	-147.467089497
-3.79	-145.993899694
-3.785	-147.362614238
-3.78	-146.047524621
-3.775	-147.270761649
-3.77	-144.517683848
-3.765	-146.543286494
-3.76	-145.251063529
-3.755	-146.405633773
-3.75	-144.361819914
-3.745	-147.081135468
-3.74	-146.285927425
-3.735	-146.385619186
-3.73	-144.608956056
-3.725	-146.018828074
-3.72	-146.113146562
-3.715	-146.701630875
-3.71	-143.903049756
-3.705	-146.246500865
-3.7	-145.295884025
-3.695	-144.224902929
-3.69	-143.071106974
-3.685	-143.675804061
-3.68	-145.587969992
-3.675	-146.203014825
-3.67	-143.14106791
-3.665	-146.248759915
-3.66	-145.814712789
-3.655	-142.836999599
-3.65	-143.376209864
-3.645	-142.832877928
-3.64	-146.192150986
-3.635	-146.505935123
-3.63	-143.968318549
-3.625	-146.50103399
-3.62	-146.446387752
-3.615	-143.220792054
-3.61	-145.314890826
-3.605	-143.64169586
-3.6	-145.862994149
-3.595	-144.65970705
-3.59	-146.740903658
-3.585	-143.95382856
-3.58	-143.954933686
-3.575	-146.311754631
-3.57	-145.7062143
-3.565	-146.520822595
-3.56	-142.495086927
-3.555	-142.910319423
-3.55	-142.939572117
-3.545	-143.774510558
-3.54	-143.490184928
-3.535	-142.05980185
-3.53	-140.98298754
-3.525	-139.060001902
-3.52	-137.377250936
-3.515	-125.760018251
-3.51	-135.466941025
-3.505	-134.544937963
-3.5	-133.282160001
-3.495	-140.365185924
-3.49	-136.245613064
-3.485	-149.335830252
-3.48	-148.863998303
-3.475	-139.405087318
-3.47	-138.813842956
-3.465	-139.491784328
-3.46	-141.807123419
-3.455	-142.822362438
-3.45	-141.224812507
-3.445	-144.508068839
-3.44	-134.105826997
-3.435	-134.461121811
-3.43	-138.01296915
-3.425	-142.420528861
-3.42	-144.245150516
-3.415	-133.879219551
-3.41	-136.611127118
-3.405	-133.208410371
-3.4	-144.896848907
-3.395	-142.457703582
-3.39	-141.169527447
-3.385	-134.49300295
-3.38	-133.514472868
-3.375	-144.15181374
-3.37	-133.698147295
-3.365	-138.15001133
-3.36	-161.256440638
-3.355	-141.15016915
-3.35	-143.275302479
-3.345	-155.583888558
-3.34	-148.697066964
-3.335	-153.681525417
-3.33	-149.979297363
-3.325	-140.400178112
-3.32	-133.3406834
-3.315	-141.930346657
-3.31	-132.699304198
-3.305	-142.657811051
-3.3	-139.07735196
-3.295	-137.737588816
-3.29	-147.490677422
-3.285	-153.57043052
-3.28	-132.813050877
-3.275	-136.261085596
-3.27	-133.312962586
-3.265	-164.627093468
-3.26	-149.299160686
-3.255	-134.428676749
-3.25	-142.098896202
-3.245	-175.050102831
-3.24	-131.916984526
-3.235	-135.133337138
-3.23	-133.617846199
-3.225	-147.077954118
-3.22	-153.235105832
-3.215	-136.705954878
-3.21	-144.725768167
-3.205	-146.09478931
-3.2	-132.562940854
-3.195	-146.663103328
-3.19	-137.237068146
-3.185	-150.273280479
-3.18	-135.123548037
-3.175	-153.73597133
-3.17	-133.228771431
-3.165	-132.821222021
-3.16	-152.894373488
-3.155	-136.816563558
-3.15	-149.587412507
-3.145	-131.910428527
-3.14	-134.807668572
-3.135	-131.721623215
-3.13	-161.405044202
-3.125	-130.25287362
-3.12	-125.111785967
-3.115	-121.889963304
-3.11	-113.450170144
-3.105	-121.537332845
-3.1	-121.966316489
-3.095	-116.205809159
-3.09	-113.58710904
-3.085	-115.706222054
-3.08	-129.202808297
-3.075	-115.309338823
-3.07	-113.781498917
-3.065	-114.527307486
-3.06	-138.248946001
-3.055	-115.350343684
-3.05	-115.315258942
-3.045	-115.877869283
-3.04	-128.238447404
-3.035	-115.282654974
-3.03	-115.592448352
-3.025	-113.891946799
-3.02	-121.426294893
-3.015	-113.499576172
-3.01	-115.562424609
-3.005	-115.565947828
-3	-118.687630989
-2.995	-114.812530088
-2.99	-116.236805649
-2.985	-113.760132997
-2.98	-119.309160479
-2.975	-115.094788987
-2.97	-118.253798101
-2.965	-114.65891702
-2.96	-118.365505988
-2.955	-116.755199772
-2.95	-117.702712761
-2.945	-113.839606348
-2.94	-118.525343423
-2.935	-115.204116461
-2.93	-117.005373575
-2.925	-115.531959034
-2.92	-119.819867305
-2.915	-115.175384015
-2.91	-115.911761661
-2.905	-114.662581331
-2.9	-123.683158584
-2.895	-115.346787235
-2.89	-115.455151908
-2.885	-117.17592261
-2.88	-133.886208482
-2.875	-118.862251542
-2.87	-117.219892408
-2.865	-119.345136514
-2.86	-119.71290231
-2.855	-129.709009154
-2.85	-134.132560623
-2.845	-122.847327523
-2.84	-116.481295821
-2.835	-115.378138957
-2.83	-119.150313524
-2.825	-116.024986082
-2.82	-128.7278681
-2.815	-117.641185883
-2.81	-113.952684364
-2.805	-124.037110965
-2.8	-113.583249159
-2.795	-123.873522918
-2.79	-124.033479283
-2.785	-113.537006125
-2.78	-131.28252221
-2.775	-116.379558774
-2.77	-123.172488334
-2.765	-118.990782415
-2.76	-117.745728684
-2.755	-114.647437452
-2.75	-114.486463164
-2.745	-151.15872474
-2.74	-112.783819044
-2.735	-114.82143729
-2.73	-118.266646372
-2.725	-136.770198672
-2.72	-118.361133929
-2.715	-113.784318091
-2.71	-115.601433992
-2.705	-118.973249858
-2.7	-118.365807059
-2.695	-114.477891898
-2.69	-174.735791562
-2.685	-112.420938696
-2.68	-117.453437589
-2.675	-125.700590806
-2.67	-118.43135907
-2.665	-128.753143766
-2.66	-134.842074638
-2.655	-130.902283626
-2.65	-140.18525331
-2.645	-121.75777983
-2.64	-127.020692858
-2.635	-117.322638953
-2.63	-127.146704719
-2.625	-118.101200539
-2.62	-129.161353274
-2.615	-125.448443588
-2.61	-130.087077094
-2.605	-115.134378786
-2.6	-109.863181723
-2.595	-129.131524921
-2.59	-109.713519477
-2.585	-109.977877946
-2.58	-101.200216394
-2.575	-71.0709716486
-2.57	-91.1061880406
-2.565	-95.6372663576
-2.56	-94.3705292172
-2.555	-101.827981518
-2.55	-93.4268101698
-2.545	-93.9652898205
-2.54	-92.0544598321
-2.535	-99.4859034181
-2.53	-92.0473675102
-2.525	-93.7411255702
-2.52	-93.2237580726
-2.515	-98.9044821742
-2.51	-94.0043957452
-2.505	-95.8443746019
-2.5	-92.7786033085
-2.495	-96.10866537
-2.49	-93.2009218262
-2.485	-96.8947451859
-2.48	-94.640308594
-2.475	-94.5390004084
-2.47	-94.0847052125
-2.465	-97.1015177871
-2.46	-95.8611163899
-2.455	-101.988351257
-2.45	-128.659471478
-2.445	-116.242501344
-2.44	-121.991016276
-2.435	-116.283651363
-2.43	-117.142273469
-2.425	-116.756040241
-2.42	-121.93419507
-2.415	-116.967459105
-2.41	-143.603056919
-2.405	-124.130565006
-2.4	-128.1633035
-2.395	-115.371029413
-2.39	-134.443808782
-2.385	-122.453630896
-2.38	-120.864899057
-2.375	-115.521279229
-2.37	-116.01022601
-2.365	-120.277940732
-2.36	-139.179821641
-2.355	-119.71746748
-2.35	-117.958143068
-2.345	-119.563396478
-2.34	-119.138531239
-2.335	-120.63132109
-2.33	-114.923620904
-2.325	-120.901549983
-2.32	-114.253996737
-2.315	-115.502811878
