order	f0_hz	py_minus_swift_db	py_minus_analytic_db	swift_minus_analytic_db
1	30	0	-0.00491959415012	-0.00491959415012
1	33.9468534794	2.6645352591e-15	-0.00163625669739	-0.00163625669739
1	38.4129620384	-2.6645352591e-15	-0.000216589038272	-0.00021658903827
1	43.4666398009	-8.881784197e-16	-9.73493908303e-05	-9.73493908294e-05
1	49.1851884187	0	-6.37608123562e-05	-6.37608123562e-05
1	55.6560794869	0	1.49784956083e-05	1.49784956083e-05
1	62.9782925193	-2.6645352591e-15	-2.34789887532e-06	-2.34789887266e-06
1	71.2638289511	0	7.3285172224e-06	7.3285172224e-06
1	80.6394253261	8.881784197e-16	1.72835487167e-06	1.72835487078e-06
1	91.2484918736	-8.881784197e-16	2.23082197337e-06	2.23082197426e-06
1	103.253306128	0	-5.86539333547e-07	-5.86539333547e-07
1	116.837495147	-8.881784197e-16	9.16375677562e-07	9.1637567845e-07
1	132.208844288	8.881784197e-16	4.85988951304e-07	4.85988950416e-07
1	149.602475524	0	-3.71907755259e-07	-3.71907755259e-07
1	169.284443893	-2.6645352591e-15	-1.91933660076e-07	-1.91933657412e-07
1	191.555807105	0	1.55653399503e-07	1.55653399503e-07
1	216.757230564	1.7763568394e-15	1.26498378883e-07	1.26498377107e-07
1	245.274198219	-3.5527136788e-15	2.53211673851e-10	2.53215226564e-10
1	277.542908974	-1.7763568394e-15	8.70211458448e-09	8.70211636084e-09
1	314.056948839	0	-2.56669157039e-08	-2.56669157039e-08
1	355.374840881	-8.881784197e-16	5.61217916584e-09	5.61218005402e-09
1	402.128588455	8.881784197e-16	6.78516265396e-09	6.78516176578e-09
1	455.033342405	1.7763568394e-15	-2.88183699126e-10	-2.88185475483e-10
1	514.898340095	0	-1.43426692745e-09	-1.43426692745e-09
1	582.6392836	8.881784197e-16	-6.92024215709e-10	-6.92025103888e-10
1	659.29234639	0	-3.21220117172e-09	-3.21220117172e-09
1	746.030022766	0	1.69021507901e-09	1.69021507901e-09
1	844.179062469	8.881784197e-16	-1.24747945307e-09	-1.24748034125e-09
1	955.2407648	1.7763568394e-15	1.596394128e-10	1.59637636443e-10
1	1080.91394267	0	7.30058680176e-10	7.30058680176e-10
1	1223.12090786	8.881784197e-16	-4.06597422398e-10	-4.06598310576e-10
1	1384.03687489	-1.7763568394e-15	-3.18085113804e-10	-3.18083337447e-10
1	1566.1232334	0	2.34842367774e-10	2.34842367774e-10
1	1772.16519783	0	5.35056443596e-11	5.35056443596e-11
1	2005.3144104	0	4.99493779671e-11	4.99493779671e-11
1	2269.137149	2.6645352591e-15	-8.2414075564e-11	-8.24167400992e-11
1	2567.66887739	0	-1.99067429207e-11	-1.99067429207e-11
1	2905.47597214	-2.6645352591e-15	1.6817658377e-11	1.68203229123e-11
1	3287.72557047	0	-5.64437385719e-12	-5.64437385719e-12
1	3720.26460738	0	8.29292190474e-12	8.29292190474e-12
1	4209.70925104	0	-1.43893785776e-11	-1.43893785776e-11
1	4763.54610453	8.881784197e-16	-2.27570851052e-10	-2.27571739231e-10
1	5390.24672176	4.4408920985e-15	-2.49403164787e-10	-2.49407605679e-10
1	6099.39718938	-1.7763568394e-15	-3.42070309856e-08	-3.42070292092e-08
1	6901.84475668	-1.7763568394e-15	6.03851215253e-07	6.03851217029e-07
1	7809.86375641	0	2.86582563636e-06	2.86582563636e-06
1	8837.34335443	8.881784197e-16	1.82249112699e-05	1.8224911269e-05
3	30	-3.5527136788e-15	0.00017205955502	0.000172059555023
3	33.9468534794	0	-6.42757790459e-06	-6.42757790459e-06
3	38.4129620384	-7.1054273576e-15	1.46339644296e-05	1.46339644367e-05
3	43.4666398009	-3.5527136788e-15	8.56699386631e-06	8.56699386986e-06
3	49.1851884187	-3.5527136788e-15	-2.27053144641e-06	-2.27053144286e-06
3	55.6560794869	0	-8.38018863192e-08	-8.38018863192e-08
3	62.9782925193	0	-6.53022212305e-07	-6.53022212305e-07
3	71.2638289511	0	-4.3781081871e-07	-4.3781081871e-07
3	80.6394253261	0	9.78867795709e-08	9.78867795709e-08
3	91.2484918736	-3.5527136788e-15	-1.56879110591e-07	-1.56879107038e-07
3	103.253306128	-7.1054273576e-15	3.29844596081e-10	3.29851701508e-10
3	116.837495147	-3.5527136788e-15	4.19464853962e-08	4.1946488949e-08
3	132.208844288	0	2.43601796512e-08	2.43601796512e-08
3	149.602475524	-3.5527136788e-15	-2.34299619706e-08	-2.34299584179e-08
3	169.284443893	0	-1.26243193677e-08	-1.26243193677e-08
3	191.555807105	0	-5.03425567899e-09	-5.03425567899e-09
3	216.757230564	-7.1054273576e-15	3.91542798184e-09	3.91543508726e-09
3	245.274198219	3.5527136788e-15	2.96115487686e-09	2.96115132414e-09
3	277.542908974	0	-2.05541539344e-09	-2.05541539344e-09
3	314.056948839	3.5527136788e-15	-3.29674065824e-10	-3.29677618538e-10
3	355.374840881	0	4.33892921592e-10	4.33892921592e-10
3	402.128588455	0	-3.84922316243e-10	-3.84922316243e-10
3	455.033342405	3.5527136788e-15	-1.15599618766e-09	-1.15599974038e-09
3	514.898340095	0	-1.41599443282e-09	-1.41599443282e-09
3	582.6392836	0	-1.67309721633e-09	-1.67309721633e-09
3	659.29234639	0	-1.60919455539e-09	-1.60919455539e-09
3	746.030022766	-3.5527136788e-15	-1.61978164215e-09	-1.61977808943e-09
3	844.179062469	0	-1.48406087419e-09	-1.48406087419e-09
3	955.2407648	-3.5527136788e-15	-1.07532116544e-09	-1.07531761273e-09
3	1080.91394267	0	-1.46721745864e-09	-1.46721745864e-09
3	1223.12090786	3.5527136788e-15	-1.43756295756e-09	-1.43756651028e-09
3	1384.03687489	-3.5527136788e-15	-1.48175871573e-09	-1.48175516301e-09
3	1566.1232334	3.5527136788e-15	-1.50520662601e-09	-1.50521017872e-09
3	1772.16519783	0	-1.17182707982e-09	-1.17182707982e-09
3	2005.3144104	3.5527136788e-15	-1.33484689968e-09	-1.33485045239e-09
3	2269.137149	-3.5527136788e-15	-1.3257093201e-09	-1.32570576739e-09
3	2567.66887739	-3.5527136788e-15	-1.57122315159e-09	-1.57121959887e-09
3	2905.47597214	-7.1054273576e-15	-9.80637793191e-10	-9.80630687764e-10
3	3287.72557047	-7.1054273576e-15	-9.70192814975e-10	-9.70185709548e-10
3	3720.26460738	0	-1.59779034448e-09	-1.59779034448e-09
3	4209.70925104	3.5527136788e-15	4.647866092e-09	4.64786253929e-09
3	4763.54610453	0	5.15712628157e-08	5.15712628157e-08
