lattice	m	n	order	bin	refused
shipped 109:163	3	-1	4	3608	0
shipped 109:163	-3	3	6	3564	0
shipped 109:163	-2	2	4	2376	0
shipped 109:163	4	-2	6	2420	0
shipped 109:163	3	4	7	21538	0
shipped 109:163	3	-2	5	22	0
shipped 109:163	2	0	2	4796	0
shipped 109:163	-3	4	7	7150	0
shipped 109:163	2	1	3	8382	0
shipped 109:163	5	-2	7	4818	0
shipped 109:163	-1	2	3	4774	0
shipped 109:163	2	3	5	15554	0
shipped 109:163	1	2	3	9570	0
shipped 109:163	-2	3	5	5962	0
shipped 109:163	1	1	2	5984	0
shipped 109:163	1	4	5	16742	0
shipped 109:163	4	-1	5	6006	0
shipped 109:163	0	2	2	7172	0
shipped 109:163	3	0	3	7194	0
shipped 109:163	-1	1	2	1188	0
shipped 109:163	2	-1	3	1210	0
shipped 109:163	-4	3	7	1166	0
shipped 109:163	-2	4	6	9548	0
shipped 109:163	0	6	6	21516	0
shipped 109:163	-1	3	4	8360	0
shipped 109:163	4	0	4	9592	0
shipped 109:163	1	3	4	13156	0
shipped 109:163	2	5	7	22726	0
shipped 109:163	0	5	5	17930	0
shipped 109:163	0	3	3	10758	0
shipped 109:163	4	3	7	20350	0
shipped 109:163	3	1	4	10780	0
shipped 109:163	6	-1	7	10802	0
shipped 109:163	4	1	5	13178	0
shipped 109:163	1	6	7	23914	0
shipped 109:163	6	0	6	14388	0
shipped 109:163	2	2	4	11968	0
shipped 109:163	0	4	4	14344	0
shipped 109:163	-1	5	6	15532	0
shipped 109:163	-1	4	5	11946	0
shipped 109:163	6	1	7	17974	0
shipped 109:163	5	-1	6	8404	0
shipped 109:163	0	7	7	25102	0
shipped 109:163	5	0	5	11990	0
shipped 109:163	2	4	6	19140	0
shipped 109:163	-1	6	7	19118	0
shipped 109:163	-2	5	7	13134	0
shipped 109:163	3	2	5	14366	0
shipped 109:163	1	5	6	20328	0
shipped 109:163	7	0	7	16786	0
shipped 109:163	5	1	6	15576	0
shipped 109:163	3	3	6	17952	0
shipped 109:163	4	2	6	16764	0
shipped 109:163	5	2	7	19162	0
corpus 75:113	-3	3	6	228	1
corpus 75:113	3	-1	4	224	1
corpus 75:113	4	-2	6	148	1
corpus 75:113	-2	2	4	152	1
corpus 75:113	5	-2	7	298	0
corpus 75:113	2	0	2	300	0
corpus 75:113	-1	2	3	302	0
corpus 75:113	-1	1	2	76	0
corpus 75:113	2	-1	3	74	0
corpus 75:113	4	-1	5	374	0
corpus 75:113	-4	3	7	78	0
corpus 75:113	1	1	2	376	0
corpus 75:113	-2	3	5	378	0
corpus 75:113	-3	2	5	2	1
corpus 75:113	-3	4	7	454	0
corpus 75:113	0	2	2	452	0
corpus 75:113	3	0	3	450	0
corpus 75:113	4	0	4	600	0
corpus 75:113	-2	4	6	604	0
corpus 75:113	5	-1	6	524	0
corpus 75:113	1	2	3	602	0
corpus 75:113	2	1	3	526	0
corpus 75:113	-1	3	4	528	0
corpus 75:113	2	2	4	752	0
corpus 75:113	-1	4	5	754	0
corpus 75:113	3	1	4	676	0
corpus 75:113	1	3	4	828	0
corpus 75:113	6	-1	7	674	0
corpus 75:113	4	1	5	826	0
corpus 75:113	0	3	3	678	0
corpus 75:113	5	0	5	750	0
corpus 75:113	0	4	4	904	0
corpus 75:113	3	2	5	902	0
corpus 75:113	4	2	6	1052	0
corpus 75:113	1	4	5	1054	0
corpus 75:113	7	0	7	1050	0
corpus 75:113	0	5	5	1130	0
corpus 75:113	2	3	5	978	0
corpus 75:113	3	3	6	1128	0
corpus 75:113	-2	5	7	830	0
corpus 75:113	6	0	6	900	0
corpus 75:113	6	1	7	1126	0
corpus 75:113	-1	6	7	1206	0
corpus 75:113	2	4	6	1204	0
corpus 75:113	-1	5	6	980	0
corpus 75:113	5	1	6	976	0
corpus 75:113	2	5	7	1430	0
corpus 75:113	1	6	7	1506	0
corpus 75:113	0	7	7	1582	0
corpus 75:113	1	5	6	1280	0
corpus 75:113	4	3	7	1278	0
corpus 75:113	3	4	7	1354	0
corpus 75:113	5	2	7	1202	0
corpus 75:113	0	6	6	1356	0
