label	freq_hz	level_dbc	above_floor	reading
2f1−f2	55.3894042969	-25.8323479221	1	present
f1+2f2	438.079833984	-25.8323485876	1	present
2f1+f2	383.697509766	-25.8323486593	1	present
−f1+2f2	218.536376953	-25.8323487219	1	present
3f2	492.462158203	-37.0782081453	1	present
3f1	329.315185547	-37.0782100079	1	present
3f1−2f2	1.00708007812	-48.9635370278	1	out_of_band
2f1+3f2	712.005615234	-48.9635387378	1	present
−2f1+3f2	272.918701172	-48.9635447112	1	present
3f1+2f2	657.623291016	-48.9635478755	1	present
f1+4f2	766.387939453	-55.9722638504	1	present
4f1−f2	274.932861328	-55.9722747933	1	present
−f1+4f2	546.844482422	-55.9722829368	1	present
4f1+f2	603.240966797	-55.9723007256	1	present
−4f1+3f2	53.3752441406	-71.5472482044	1	present
3f1+4f2	985.931396484	-71.5472637696	1	present
−3f1+4f2	327.301025391	-71.5472881927	1	present
4f1+3f2	931.549072266	-71.5472893295	1	present
5f2	820.770263672	-74.923924562	1	present
5f1	548.858642578	-74.9239348219	1	present
2f1+5f2	1040.3137207	-76.7058387389	1	present
−2f1+5f2	601.226806641	-76.70590213	1	present
5f1+2f2	877.166748047	-76.7059961494	1	present
5f1−2f2	220.550537109	-76.7060333791	1	present
6f1+f2	822.784423828	-88.4969225729	1	present
6f1−f2	494.476318359	-88.4971236803	1	present
f1+6f2	1094.69604492	-88.4972756984	1	present
−f1+6f2	875.152587891	-88.4978117719	1	present
7f1	768.402099609	-120.651702187	1	present
7f2	1149.07836914	-120.684092765	1	present
f1+5f2	930.541992188	-165.587773357	0	absent
f1+3f2	602.233886719	-166.080181663	0	absent
6f1	658.630371094	-167.272568003	0	absent
3f1+f2	493.469238281	-168.875457245	0	absent
3f1+3f2	821.77734375	-169.168021232	0	absent
−f1+3f2	382.690429688	-169.466951323	0	absent
4f1	439.086914062	-170.330953497	0	absent
2f2	328.308105469	-170.405644345	0	absent
6f2	984.924316406	-170.595904866	0	absent
−f1+f2	54.3823242188	-170.808944016	0	absent
5f1+f2	713.012695312	-171.110241914	0	absent
−2f1+2f2	108.764648438	-171.168016354	0	absent
5f1−f2	384.704589844	-171.66914496	0	absent
2f1+2f2	547.8515625	-171.812384874	0	absent
2f1	219.543457031	-172.385788526	0	absent
3f1−f2	165.161132812	-172.667912787	0	absent
f1+f2	273.92578125	-173.786939417	0	absent
−3f1+3f2	163.146972656	-175.094342838	0	absent
4f2	656.616210938	-175.178837106	0	absent
4f1−2f2	110.778808594	-175.606303512	0	absent
2f1+4f2	876.159667969	-176.328623455	0	absent
−f1+5f2	710.998535156	-176.947523692	0	absent
4f1+2f2	767.395019531	-179.681381229	0	absent
−2f1+4f2	437.072753906	-181.368851732	0	absent
