freq_hz	thd_db	stamp_median_db	stamp_raw_db	residue_db
20	-26.9356783873	-97.3367982763	-96.5737955349	-21.6346450244
26.2045386232	-34.1739705618	-97.3367982763	-96.5737955349	-46.3220771876
34.3338922229	-34.0690790252	-97.6590569638	-97.6754354547	-74.8508475816
44.985190242	-34.0690675431	-97.1890322616	-96.1599052852	-92.8677394932
58.9408077585	-34.0695660096	-96.5950863658	-97.3398624485	-103.958139742
77.2258336697	-34.0695349522	-94.9524722892	-93.7658150631	-114.227700683
101.183367055	-34.0696993743	-92.5852596019	-92.5303502165	-123.009394433
132.573172502	-34.069280495	-91.7296524666	-91.1359539755	-130.188624952
173.700940961	-34.0693675355	-92.0037108323	-90.9282843412	-137.26442853
227.587650816	-34.0690220704	-91.1323144781	-89.3543716232	-144.118300077
298.191469299	-34.0695340814	-88.2751044701	-89.6412078041	-152.095256099
390.698493718	-34.0696967398	-87.9998730563	-88.07967905	-158.593274547
511.903688434	-34.0694536359	-86.3026549344	-86.2624713252	-165.850677783
670.709998748	-34.068626785	-84.4721419337	-83.772033275	-172.791838947
878.782303359	-34.069501485	-85.6429527821	-82.5468863495	-180.458637029
1151.40424049	-34.0701936677	-82.9100943319	-81.746742901	-187.077055459
1508.60084454	-34.0697550442	-80.4087809836	-82.1948466546	-194.338007452
1976.6094549	-34.0691262763	-80.7108307787	-81.0859608093	-201.530629937
2589.80694019	-34.070258531	-81.2081670953	-81.1682927751	-208.197059574
3393.23479955	-34.0688233421	-82.0508418606	-80.1503693368	-215.515796635
4445.90761813	-34.0719208017	-80.4807231894	-82.5428928246	-222.273510393
5825.14789473	-34.0727950482	-83.9037232674	-79.0153126891	-229.191554846
7632.26564968	-101.884404694	-85.5778591708	-84.2548438712	-144.721568676
10000	-86.5887083553	-85.7286752815	-83.8827217743	-122.424681282
