freq_hz	residue_2s_db	residue_5s_db	residue_10s_db	worst_db
20.0	-21.634645024415697	-27.743673692380728	-34.12602636710745	-21.634645024415697
26.20453862324424	-46.32207718761212	-70.11227704217384	-86.6678896743393	-46.32207718761212
34.33389222285494	-74.85084758162083	-103.58117129108692	-116.9738980282811	-74.85084758162083
44.985190242005366	-92.86773949321713	-117.15274470749831	-129.25500978464103	-92.86773949321713
58.940807758530966	-103.95813974180561	-127.16652455092527	-140.29525322308172	-103.95813974180561
77.22583366968192	-114.22770068344603	-136.29200714791347	-150.44712875027167	-114.22770068344603
101.18336705547074	-123.00939443257329	-144.42335337710207	-159.98412675727417	-123.00939443257329
132.5731725017491	-130.18862495248578	-152.14445605384523	-169.0224636730315	-130.18862495248578
173.7009409614052	-137.26442852969384	-159.48788820753632	-177.6241739402818	-137.26442852969384
227.5876508158505	-144.1183000773673	-166.79542975392138	-185.82264218623916	-144.1183000773673
298.1914692988688	-152.09525609866853	-173.96557709437195	-193.66725012505333	-152.09525609866853
390.6984937182078	-158.59327454728825	-181.23429490572224	-201.22761573976788	-158.59327454728825
511.903688434106	-165.8506777830755	-188.28644128951308	-208.54931034255745	-165.8506777830755
670.7099987476357	-172.7918389470526	-195.4118432239932	-215.722176314894	-172.7918389470526
878.7823033589261	-180.45863702933647	-202.20553175081483	-221.23123987619397	-180.45863702933647
1151.4042404896254	-187.07705545948173	-209.41102102130827	-223.24016827455839	-187.07705545948173
1508.6008445438788	-194.33800745247336	-216.81171074547737	-224.38052325158276	-194.33800745247336
1976.609454895447	-201.53062993659174	-222.49194109474647	-224.07425144565713	-201.53062993659174
2589.806940193875	-208.19705957390883	-226.06244245141457	-227.11257511530914	-208.19705957390883
3393.234799552818	-215.51579663487928	-230.03904228045414	-227.0336055618718	-215.51579663487928
4445.907618130911	-222.27351039290812	-235.34468208243652	-233.36037475112047	-222.27351039290812
5825.14789473436	-229.19155484551976	-237.5476685044126	-237.11928989812066	-229.19155484551976
7632.2656496838235	-144.7215686762242	-246.36464758588068	-236.92606910435074	-144.7215686762242
10000.0	-122.42468128151486	-136.67959927147604	-140.77013049199633	-122.42468128151486
